ETA' / ANNO,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
25,"10,106","10,847","10,612","9,819","9,695","9,914","11,643","13,072","14,302","14,847","18,057","24,125","24,125","24,125","24,125","24,125","24,125","24,125","24,125","24,125","24,125","24,125"
26,"9,543","10,106","10,847","10,612","9,819","9,695","9,914","11,643","13,072","14,302","14,847","18,057","24,125","24,125","24,125","24,125","24,125","24,125","24,125","24,125","24,125","24,125"
27,"8,381","9,543","10,106","10,847","10,612","9,819","9,695","9,914","11,643","13,072","14,302","14,847","18,057","24,125","24,125","24,125","24,125","24,125","24,125","24,125","24,125","24,125"
28,"6,617","8,381","9,543","10,106","10,847","10,612","9,819","9,695","9,914","11,643","13,072","14,302","14,847","18,057","24,125","24,125","24,125","24,125","24,125","24,125","24,125","24,125"
29,"4,677","6,617","8,381","9,543","10,106","10,847","10,612","9,819","9,695","9,914","11,643","13,072","14,302","14,847","18,057","24,125","24,125","24,125","24,125","24,125","24,125","24,125"
30,"8,558","9,377","9,891","10,417","10,507","10,708","9,204","10,612","9,819","9,695","9,914","11,643","13,072","14,302","14,847","18,057","24,125","24,125","24,125","24,125","24,125","24,125"
31,"8,474","8,558","9,377","9,891","10,417","10,507","10,708","9,204","10,612","9,819","9,695","9,914","11,643","13,072","14,302","14,847","18,057","24,125","24,125","24,125","24,125","24,125"
32,"7,874","8,474","8,558","9,377","9,891","10,417","10,507","10,708","9,204","10,612","9,819","9,695","9,914","11,643","13,072","14,302","14,847","18,057","24,125","24,125","24,125","24,125"
33,"7,818","7,874","8,474","8,558","9,377","9,891","10,417","10,507","10,708","9,204","10,612","9,819","9,695","9,914","11,643","13,072","14,302","14,847","18,057","24,125","24,125","24,125"
34,"7,921","7,818","7,874","8,474","8,558","9,377","9,891","10,417","10,507","10,708","9,204","10,612","9,819","9,695","9,914","11,643","13,072","14,302","14,847","18,057","24,125","24,125"
35,"7,942","7,921","7,818","7,874","8,474","8,558","9,377","9,891","10,417","10,507","10,708","9,204","10,612","9,819","9,695","9,914","11,643","13,072","14,302","14,847","18,057","24,125"
36,"7,602","7,942","7,921","7,818","7,874","8,474","8,558","9,377","9,891","10,417","10,507","10,708","9,204","10,612","9,819","9,695","9,914","11,643","13,072","14,302","14,847","18,057"
37,"7,217","7,602","7,942","7,921","7,818","7,874","8,474","8,558","9,377","9,891","10,417","10,507","10,708","9,204","10,612","9,819","9,695","9,914","11,643","13,072","14,302","14,847"
38,"7,202","7,217","7,602","7,942","7,921","7,818","7,874","8,474","8,558","9,377","9,891","10,417","10,507","10,708","9,204","10,612","9,819","9,695","9,914","11,643","13,072","14,302"
39,"7,213","7,202","7,217","7,602","7,942","7,921","7,818","7,874","8,474","8,558","9,377","9,891","10,417","10,507","10,708","9,204","10,612","9,819","9,695","9,914","11,643","13,072"
40,"7,144","7,213","7,202","7,217","7,602","7,942","7,921","7,818","7,874","8,474","8,558","9,377","9,891","10,417","10,507","10,708","9,204","10,612","9,819","9,695","9,914","11,643"
41,"7,190","7,144","7,213","7,202","7,217","7,602","7,942","7,921","7,818","7,874","8,474","8,558","9,377","9,891","10,417","10,507","10,708","9,204","10,612","9,819","9,695","9,914"
42,"7,516","7,190","7,144","7,213","7,202","7,217","7,602","7,942","7,921","7,818","7,874","8,474","8,558","9,377","9,891","10,417","10,507","10,708","9,204","10,612","9,819","9,695"
43,"7,185","7,516","7,190","7,144","7,213","7,202","7,217","7,602","7,942","7,921","7,818","7,874","8,474","8,558","9,377","9,891","10,417","10,507","10,708","9,204","10,612","9,819"
44,"7,306","7,185","7,516","7,190","7,144","7,213","7,202","7,217","7,602","7,942","7,921","7,818","7,874","8,474","8,558","9,377","9,891","10,417","10,507","10,708","9,204","10,612"
45,"7,399","7,306","7,185","7,516","7,190","7,144","7,213","7,202","7,217","7,602","7,942","7,921","7,818","7,874","8,474","8,558","9,377","9,891","10,417","10,507","10,708","9,204"
46,"7,271","7,399","7,306","7,185","7,516","7,190","7,144","7,213","7,202","7,217","7,602","7,942","7,921","7,818","7,874","8,474","8,558","9,377","9,891","10,417","10,507","10,708"
47,"6,637","7,271","7,399","7,306","7,185","7,516","7,190","7,144","7,213","7,202","7,217","7,602","7,942","7,921","7,818","7,874","8,474","8,558","9,377","9,891","10,417","10,507"
48,"6,012","6,637","7,271","7,399","7,306","7,185","7,516","7,190","7,144","7,213","7,202","7,217","7,602","7,942","7,921","7,818","7,874","8,474","8,558","9,377","9,891","10,417"
49,"5,764","6,012","6,637","7,271","7,399","7,306","7,185","7,516","7,190","7,144","7,213","7,202","7,217","7,602","7,942","7,921","7,818","7,874","8,474","8,558","9,377","9,891"
50,"5,880","5,764","6,012","6,637","7,271","7,399","7,306","7,185","7,516","7,190","7,144","7,213","7,202","7,217","7,602","7,942","7,921","7,818","7,874","8,474","8,558","9,377"
51,"6,290","5,880","5,764","6,012","6,637","7,271","7,399","7,306","7,185","7,516","7,190","7,144","7,213","7,202","7,217","7,602","7,942","7,921","7,818","7,874","8,474","8,558"
52,"6,854","6,290","5,880","5,764","6,012","6,637","7,271","7,399","7,306","7,185","7,516","7,190","7,144","7,213","7,202","7,217","7,602","7,942","7,921","7,818","7,874","8,474"
53,"7,718","6,854","6,290","5,880","5,764","6,012","6,637","7,271","7,399","7,306","7,185","7,516","7,190","7,144","7,213","7,202","7,217","7,602","7,942","7,921","7,818","7,874"
54,"8,721","7,718","6,854","6,290","5,880","5,764","6,012","6,637","7,271","7,399","7,306","7,185","7,516","7,190","7,144","7,213","7,202","7,217","7,602","7,942","7,921","7,818"
55,"9,899","8,721","7,718","6,854","6,290","5,880","5,764","6,012","6,637","7,271","7,399","7,306","7,185","7,516","7,190","7,144","7,213","7,202","7,217","7,602","7,942","7,921"
56,"10,186","9,899","8,721","7,718","6,854","6,290","5,880","5,764","6,012","6,637","7,271","7,399","7,306","7,185","7,516","7,190","7,144","7,213","7,202","7,217","7,602","7,942"
57,"10,294","10,186","9,899","8,721","7,718","6,854","6,290","5,880","5,764","6,012","6,637","7,271","7,399","7,306","7,185","7,516","7,190","7,144","7,213","7,202","7,217","7,602"
58,"11,090","10,294","10,186","9,899","8,721","7,718","6,854","6,290","5,880","5,764","6,012","6,637","7,271","7,399","7,306","7,185","7,516","7,190","7,144","7,213","7,202","7,217"
59,"11,868","11,090","10,294","10,186","9,899","8,721","7,718","6,854","6,290","5,880","5,764","6,012","6,637","7,271","7,399","7,306","7,185","7,516","7,190","7,144","7,213","7,202"
60,"13,680","11,868","11,090","10,294","10,186","9,899","8,721","7,718","6,854","6,290","5,880","5,764","6,012","6,637","7,271","7,399","7,306","7,185","7,516","7,190","7,144","7,213"
61,"14,667","13,680","11,868","11,090","10,294","10,186","9,899","8,721","7,718","6,854","6,290","5,880","5,764","6,012","6,637","7,271","7,399","7,306","7,185","7,516","7,190","7,144"
62,"16,370","14,667","13,680","11,868","11,090","10,294","10,186","9,899","8,721","7,718","6,854","6,290","5,880","5,764","6,012","6,637","7,271","7,399","7,306","7,185","7,516","7,190"
63,"17,307","16,370","14,667","13,680","11,868","11,090","10,294","10,186","9,899","8,721","7,718","6,854","6,290","5,880","5,764","6,012","6,637","7,271","7,399","7,306","7,185","7,516"
64,"16,784","17,307","16,370","14,667","13,680","11,868","11,090","10,294","10,186","9,899","8,721","7,718","6,854","6,290","5,880","5,764","6,012","6,637","7,271","7,399","7,306","7,185"
65,"16,854","16,784","17,307","16,370","14,667","13,680","11,868","11,090","10,294","10,186","9,899","8,721","7,718","6,854","6,290","5,880","5,764","6,012","6,637","7,271","7,399","7,306"
66,"16,510","16,854","16,784","17,307","16,370","14,667","13,680","11,868","11,090","10,294","10,186","9,899","8,721","7,718","6,854","6,290","5,880","5,764","6,012","6,637","7,271","7,399"
67,"15,019","16,510","16,854","16,784","17,307","16,370","14,667","13,680","11,868","11,090","10,294","10,186","9,899","8,721","7,718","6,854","6,290","5,880","5,764","6,012","6,637","7,271"
68,"13,139","15,019","16,510","16,854","16,784","17,307","16,370","14,667","13,680","11,868","11,090","10,294","10,186","9,899","8,721","7,718","6,854","6,290","5,880","5,764","6,012","6,637"
69,"11,110","13,139","15,019","16,510","16,854","16,784","17,307","16,370","14,667","13,680","11,868","11,090","10,294","10,186","9,899","8,721","7,718","6,854","6,290","5,880","5,764","6,012"
70,"9,315","11,110","13,139","15,019","16,510","16,854","16,784","17,307","16,370","14,667","13,680","11,868","11,090","10,294","10,186","9,899","8,721","7,718","6,854","6,290","5,880","5,764"
71,"8,074","9,315","11,110","13,139","15,019","16,510","16,854","16,784","17,307","16,370","14,667","13,680","11,868","11,090","10,294","10,186","9,899","8,721","7,718","6,854","6,290","5,880"
72,"6,855","8,074","9,315","11,110","13,139","15,019","16,510","16,854","16,784","17,307","16,370","14,667","13,680","11,868","11,090","10,294","10,186","9,899","8,721","7,718","6,854","6,290"