Anno,Fascia 0-4,Fascia 5-17,Fascia 18,Fascia 19,Fascia 20-49,Fascia 50-64,Fascia 65-74,Fascia 75-84,Fascia 85+
2019,"2,338,752","7,234,403","586,873","585,535","22,270,450","13,107,445","6,684,129","4,875,513","2,133,573"
2020,"2,264,538","7,168,621","574,707","590,744","21,876,243","13,307,545","6,795,374","4,875,549","2,188,167"
2021,"2,216,510","7,134,603","566,163","576,282","21,413,388","13,387,736","6,915,504","4,825,173","2,200,854"
2022,"2,142,834","7,076,080","569,708","567,290","21,027,161","13,595,656","6,896,361","4,933,440","2,221,603"
2023,"2,085,244","6,990,469","586,339","577,155","20,812,341","13,764,356","6,913,692","5,024,159","2,243,446"
2024,"2,031,476","6,899,002","583,460","593,590","20,594,705","13,912,261","6,926,221","5,110,728","2,319,787"
2025,"1,982,886","6,778,599","587,817","589,316","20,383,523","14,026,324","7,008,346","5,160,026","2,417,522"
2026,"1,950,088","6,641,812","588,662","593,476","20,197,785","14,084,355","7,117,415","5,200,112","2,505,085"
2027,"1,923,205","6,496,099","592,078","594,127","20,050,659","14,076,548","7,275,940","5,254,903","2,541,994"
2028,"1,905,359","6,346,849","586,926","597,354","19,933,310","14,016,991","7,450,512","5,313,501","2,565,087"
2029,"1,902,806","6,190,064","579,696","592,017","19,838,352","13,902,763","7,645,643","5,378,098","2,581,631"
2030,"1,912,534","6,036,358","565,547","584,610","19,771,864","13,691,409","7,869,407","5,472,727","2,588,435"
2031,"1,923,417","5,890,526","558,316","570,314","19,714,785","13,472,722","8,071,182","5,583,970","2,578,855"
2032,"1,935,060","5,766,459","537,421","562,945","19,655,903","13,236,607","8,262,562","5,600,599","2,667,982"
2033,"1,947,534","5,649,425","531,390","541,935","19,588,755","13,008,576","8,431,076","5,632,946","2,748,187"
2034,"1,961,422","5,546,581","518,232","535,776","19,518,550","12,763,821","8,588,544","5,663,926","2,830,766"
2035,"1,975,556","5,456,196","507,515","522,504","19,448,305","12,503,224","8,720,878","5,748,027","2,886,445"
2036,"1,988,562","5,380,632","494,704","511,671","19,371,264","12,257,713","8,810,199","5,854,220","2,933,144"
2037,"2,000,457","5,324,558","477,392","498,804","19,298,757","11,987,363","8,885,040","5,998,705","2,959,736"
2038,"2,011,164","5,287,895","460,201","481,451","19,211,911","11,726,768","8,936,052","6,155,762","2,984,465"
2039,"2,019,093","5,269,351","445,177","464,221","19,090,499","11,491,133","8,952,215","6,331,283","3,013,199"
2040,"2,024,047","5,258,333","440,229","449,158","18,963,543","11,238,187","8,922,130","6,536,223","3,059,980"
2041,"2,027,077","5,257,016","432,146","444,185","18,815,317","11,025,473","8,870,816","6,720,744","3,109,692"
2042,"2,027,575","5,271,230","418,075","436,101","18,671,669","10,842,523","8,780,624","6,895,631","3,164,747"
2043,"2,025,280","5,297,074","407,716","422,027","18,512,964","10,700,122","8,666,816","7,050,085","3,225,830"
2044,"2,020,206","5,322,340","408,890","411,669","18,362,142","10,559,869","8,534,353","7,193,112","3,288,125"
2045,"2,012,494","5,346,128","410,293","412,842","18,207,243","10,451,114","8,359,547","7,317,128","3,369,076"
2046,"2,000,896","5,368,435","411,675","414,246","18,055,769","10,360,575","8,188,045","7,403,622","3,458,449"
2047,"1,986,039","5,388,035","413,291","415,627","17,899,027","10,292,486","7,994,448","7,479,240","3,558,813"
2048,"1,967,783","5,403,868","415,597","417,243","17,740,922","10,229,304","7,808,223","7,534,283","3,663,686"
2049,"1,946,436","5,414,893","418,221","419,548","17,576,334","10,194,941","7,610,143","7,561,169","3,781,278"
2050,"1,922,288","5,420,728","420,660","422,170","17,413,724","10,169,943","7,399,742","7,555,052","3,928,030"